Faszination Go-Spiel;5;1;6
Der Japanische Garten;5;2;7
Japan ist ueberall;5;4;13
Japan in Berlin;5;3;12
Faszination Go-Spiel;6;1;6
Der Japanische Garten;6;2;7
Japan ist ueberall;6;4;12
Japan in Berlin;6;3;13
Rockin at the Gospel;7;3;25
(Brett)spiele;7;5;17
Benimm- & Verhaltensregeln;7;6;12
Rapmusik;7;7;15
Rollen, Gleiten, Skaten ;7;8;24
Umweltschutz;7;2;12
Stop-Motion;7;11;12
Wo kommst Du her?;7;13;12
Gemeinsam für den Tierschutz;7;4;25
Wo kommt unsere Kleidung her?;7;12;12
sozialen Medien;7;9;20
Der gute Schulgeist;7;10;20
Achtsamkeit & Stressbewältigung;7;14;12
G(H)O 4 Tolerance;7;1;18
Natur- und Tierschutz;7;15;12
Berlin vor 1.000 und 10.000 Jahren;8;2;12
Bunt & GHO - Neubau;8;5;10
My School My Logo;8;4;12
Mein Marienfelde;8;1;24
Picknickbank ;8;3;8
Fahrrad durchs Umland;8;6;16
Geocaches an Stolpersteinen;8;7;18
Marching Band;8;8;20
Der Berg ruft;9;1;25
Lebenswertes Leben;9;2;18
Brandenburg mit allen Sinnen ;9;6;17
Yoga;9;8;12
Bewegung und Spaar;9;11;12
Rudern ;9;10;18
Mit dem Rad an Meer;9;7;20
Schach;9;3;20
Stress lass nach;9;4;24
Touch-Rugby;9;5;30
Marching Band;9;12;20
Capoeira ;9;9;18
Nebelkammer;10;2;16
Bionik;10;3;16
GHO-Zeitkapsel;10;5;20
Mathematik begreifen;10;6;28
Sonnensystem;10;8;18
urban gardening;10;9;18
Diversitet;10;7;25
Poetry-Slam;10;1;12
Unsere Ernährung;10;4;30
Marching Band;10;10;20
Impromanie;11;1;20
Festung Europa!? ;11;2;32
Mein buntes Europa;11;4;24
rechte Parteien;11;7;24
Von der Trennung zur Europäischen Einigung;11;8;20
Mission Nachhaltige Politik;11;5;24
Europäische Subkultur;11;6;26
Marching Band;11;9;20
Schule und was dann?;12;1;14
Berufsfeld Sport und Bewegung;12;3;16
Studienorientierung in Berlin/Brandenburg;12;4;75
Studienorientierung in den MINT Fächern;12;5;60
Philippinisch-Deutsche Beziehungen;12;2;24
